iter	Passed	Remaining
898	2646	297
899	2648	294
900	2652	291
901	2655	288
902	2659	285
903	2662	282
904	2665	279
905	2668	276
906	2671	273
907	2674	270
908	2677	268
909	2680	265
910	2683	262
911	2686	259
912	2689	256
913	2692	253
914	2695	250
915	2698	247
916	2701	244
917	2704	241
918	2707	238
919	2710	235
920	2713	232
921	2716	229
922	2719	226
923	2722	223
924	2725	221
925	2728	218
926	2731	215
927	2734	212
928	2736	209
929	2740	206
930	2744	203
931	2747	200
932	2750	197
933	2753	194
934	2756	191
935	2759	188
936	2762	185
937	2765	182
938	2768	179
939	2770	176
940	2774	173
941	2776	170
942	2779	168
943	2782	165
944	2785	162
945	2789	159
946	2792	156
947	2795	153
948	2799	150
949	2802	147
950	2805	144
951	2809	141
952	2812	138
953	2815	135
954	2818	132
955	2821	129
956	2824	126
957	2827	123
958	2831	121
959	2833	118
960	2836	115
961	2840	112
962	2843	109
963	2846	106
964	2849	103
965	2852	100
966	2855	97
967	2858	94
968	2861	91
969	2864	88
970	2867	85
971	2871	82
972	2874	79
973	2877	76
974	2880	73
975	2883	70
976	2886	67
977	2889	65
978	2892	62
979	2895	59
980	2898	56
981	2901	53
982	2905	50
983	2908	47
984	2911	44
985	2914	41
986	2917	38
987	2920	35
988	2923	32
989	2926	29
990	2929	26
991	2932	23
992	2935	20
993	2938	17
994	2941	14
995	2945	11
996	2948	8
997	2952	5
998	2955	2
999	2959	0
